dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,icq,nof,nom,wmc,gc,rb
2,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,2,2,0.0,0.5555556,59,0,4,0,9,3,16,0,0
1,0,0,,0.0,11,0,0,0,3,1,2,0,0
1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,1,7,0.0,0.0,164,0,25,0,0,19,28,0,0
1,0,0,,0.0,10,0,1,0,0,1,2,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,15,0,0.0,0.0,8,0,0,0,0,6,6,0,0
1,0,1,,0.0,10,0,1,0,0,1,1,0,0
3,2,6,0.0,0.0,14,0,7,0,0,3,3,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,5,0.0,0.0,22,0,5,0,1,4,4,0,0
1,0,0,0.0,0.5,9,0,1,0,1,2,2,0,0
2,1,6,0.0,0.0,31,0,8,0,0,5,5,0,0
2,0,4,0.0,0.0,13,0,4,0,0,2,2,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,1,0.0,0.0,14,0,1,0,0,4,4,0,0
2,0,4,0.0,0.0,190,0,4,0,0,21,21,0,0
1,0,0,,0.0,5,0,1,0,0,1,1,0,0
1,1,1,,1.0,6,0,1,0,1,1,1,0,0
4,0,1,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,0.0,0.0,8,0,1,0,0,2,2,0,0
1,0,0,0.0,0.0,18,0,1,0,1,3,3,0,0
2,0,4,,0.0,8,0,4,0,0,1,1,0,0
3,1,3,,0.0,5,0,0,0,0,1,1,0,0
4,2,6,0.0,0.73333335,32,0,9,0,3,5,9,0,0
6,2,5,0.0,0.0,16,0,6,0,0,3,7,0,0
6,1,4,0.0,0.0,13,0,3,0,0,3,4,0,0
1,5,0,0.0,0.0,9,0,1,0,1,2,2,0,0
1,1,0,-1.0,0.0,3,0,0,0,0,0,0,0,0
5,0,0,0.0,0.0,8,0,2,0,0,2,2,0,0
1,2,3,0.0,0.71428573,85,1,11,0,2,14,30,0,0
1,0,0,0.0,0.0,15,0,0,0,1,2,4,0,0
1,0,2,,0.0,7,0,2,0,0,1,1,0,0
1,0,0,,1.0,6,0,0,0,1,1,1,0,0
2,0,5,0.0,0.0,13,0,5,0,0,2,2,0,0
2,0,4,0.0,0.0,17,0,4,0,0,2,2,0,0
1,0,0,,0.0,11,0,1,0,0,1,3,0,0
2,0,6,0.0,0.0,14,0,6,0,1,2,3,0,0
1,23,29,0.0,0.6666667,110,12,17,1,1,6,20,0,0
1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,25,0,5,0,0,3,10,0,0
1,0,1,,0.0,10,0,0,3,0,1,1,0,0
1,0,1,0.0,0.7619048,39,0,2,0,14,3,5,0,0
1,1,1,,0.0,10,0,0,0,0,1,1,0,0
4,1,4,0.0,0.42857143,26,0,8,0,2,7,7,0,0
2,0,2,0.0,1.0,16,0,6,0,1,2,2,0,0
1,1,1,0.0,0.6666667,16,0,2,0,1,3,3,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
2,0,4,0.0,0.0,13,0,4,0,0,2,2,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,1,0,0,1,1,0,0
1,0,0,,1.0,5,0,0,0,1,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,5,0.0,0.0,37,0,4,0,1,8,8,0,0
1,0,0,-1.0,,5,0,0,0,1,0,0,0,0
3,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,1,0.0,0.0,8,0,0,0,0,2,2,0,0
1,3,1,0.0,0.6,77,0,11,0,3,5,22,0,0
3,0,0,,0.0,5,0,0,0,0,1,1,0,0
2,0,5,,0.0,12,0,2,1,2,1,1,0,0
1,3,8,0.0,0.9047619,69,0,3,0,2,21,22,0,0
2,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,10,0,0,1,0,0,0,0,0
1,0,0,,0.0,164,0,0,0,0,1,81,0,0
1,0,0,0.0,0.0,33,0,0,0,0,2,13,0,0
5,1,5,0.0,0.0,23,0,10,0,0,3,9,0,0
1,0,0,,0.0,8,0,1,0,0,1,2,0,0
1,0,1,,0.0,5,0,0,0,0,1,1,0,0
4,1,3,0.0,0.0,8,0,3,0,0,2,2,0,0
2,1,3,0.0,0.0,13,0,0,0,0,4,4,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,3,0.0,0.0,17,0,6,0,0,2,2,0,0
1,0,1,,0.0,5,0,1,0,0,1,1,0,0
2,2,7,0.0,0.61111116,38,0,9,0,3,6,8,0,0
4,2,8,0.0,0.8666666,147,0,30,0,3,15,50,0,0
